id,service_id,name,price,concurrent_streams,quality,note,currency
103,27,Pro,60,,SD,Fast 30시간/월; Relax 이미지·SD 영상; Stealth,USD
104,27,Mega,120,,SD,Fast 60시간/월; Relax 이미지·SD 영상; Stealth,USD
105,28,Pro,10,,,개인 코딩 에이전트,USD
106,28,Pro+,39,,,확장 코딩 에이전트; 표시 AI 크레딧 70 USD,USD
107,28,Max,100,,,상위 이용량; 표시 AI 크레딧 200 USD,USD
108,29,Pro,20,,,Agent·Tab 확장,USD
109,29,Pro+,60,,,Pro 대비 약 3배 사용량,USD
110,29,Ultra,200,,,Pro 대비 약 20배 사용량,USD
111,17,리디셀렉트 해외카드,4,,,셀렉트 대상 도서 무제한,USD
112,30,Plus 월간,11,,,2TB,USD
113,30,Plus,9,,,2TB,USD
